名称,所在地,緯度,経度,
赤塚新町小学校,東京都板橋区赤塚新町3-31-1,35.769406,139.636166,
新河岸小学校,東京都板橋区新河岸1-3-1,35.793775,139.665068,
緑小学校,東京都板橋区中台3-27-1,35.772415,139.679454,
高島第三中学校,東京都板橋区高島平4-22-1,35.788383,139.651189,
桜川小学校,東京都板橋区東新町2-29-1,35.755105,139.67852,
上板橋第二中学校,東京都板橋区小茂根1-2-1,35.747649,139.681186,
加賀中学校 　　　　　　　　　　　　　　,東京都板橋区加賀2-19-1,35.759555,139.716525,
志村第二中学校 　　　　　　　　　　　　　　,東京都板橋区小豆沢1-21-1,35.775469,139.702965,
高島第五小学校,東京都板橋区高島平3-11-1,35.786856,139.657229,
成増小学校,東京都板橋区成増1-11-1,35.77436,139.631891,
成増ヶ丘小学校,東京都板橋区成増3-17-7,35.780861,139.634372,
中台小学校,東京都板橋区中台1-9-7,35.766426,139.68096,
志村第五小学校,東京都板橋区西台3-38-23,35.77699,139.668501,
桜川中学校 　　　　　　　　　　　　　　　,東京都板橋区桜川1-2-1,35.756217,139.676931,
中台中学校 　　　　　　　　　　　　　　　　　　,東京都板橋区中台1-56-23,35.769226,139.680154,
志村坂下小学校,東京都板橋区相生町26-14,35.778809,139.679919,
紅梅小学校,東京都板橋区徳丸8-10-1,35.780987,139.657229,
北野小学校,東京都板橋区徳丸3-23-1,35.771592,139.657123,
西台中学校,東京都板橋区高島平1-4-1,35.78199,139.671868,
高島第一中学校,東京都板橋区高島平8-26-1,35.791888,139.663106,
高島第二小学校,東京都板橋区高島平2-25-1,35.784944,139.661997,
高島第二中学校,東京都板橋区高島平2-24-1,35.785264,139.660606,
高島第三小学校,東京都板橋区高島平4-21-1,35.788867,139.649969,
下赤塚小学校,東京都板橋区赤塚6-14-1,35.77435,139.643176,
高島第一小学校,東京都板橋区高島平7-24-1,35.791973,139.659838,
板橋第六小学校,東京都板橋区大山町13-1,35.747149,139.700271,
板橋第十小学校,東京都板橋区大谷口上町43-1,35.747584,139.692597,
上板橋第二小学校,東京都板橋区小茂根1-14-1,35.747527,139.679838,
弥生小学校,東京都板橋区弥生町19-1,35.753655,139.694321,
板橋第二中学校　　　　　　　　　　　　　,東京都板橋区幸町26-1,35.745875,139.697052,
上板橋第一中学校 　　　　　　　　　　　　,東京都板橋区南常盤台1-1-1,35.75683,139.691227,
向原中学校 　　　　　　　　　　　　　　　　,東京都板橋区向原3-1-12,35.744271,139.685515,
向原小学校,東京都板橋区向原2-34-1,35.741521,139.681794,
志村第一中学校 　　　　　　　　　　　　　　,東京都板橋区大原町33-1,35.767193,139.69709,
板橋第一小学校,東京都板橋区氷川町13-1,35.753492,139.70737,
志村第三小学校,東京都板橋区清水町83-1,35.766991,139.705041,
金沢小学校,東京都板橋区加賀2-2-1,35.755219,139.714983,
板橋第九小学校,東京都板橋区栄町6-1,35.754684,139.704246,
板橋第一中学校,東京都板橋区大山東町50-1,35.750446,139.704816,
加賀小学校,東京都板橋区稲荷台23-1,35.7615,139.710557,
板橋第五中学校 　　　　　　　　　　　　　　,東京都板橋区板橋4-49-3,35.752434,139.719646,
板橋第八小学校　,東京都板橋区双葉町42-1,35.759547,139.700039,
志村第三中学校,東京都板橋区坂下2-21-1,35.783501,139.683645,
志村第四中学校,東京都板橋区志村3-15-1,35.776564,139.684055,
常盤台小学校,東京都板橋区常盤台1-6-1,35.759507,139.691235,
志村第五中学校,東京都板橋区坂下2-1-20,35.782394,139.685891,
蓮根小学校,東京都板橋区蓮根3-10-1,35.787705,139.676631,
志村小学校,東京都板橋区志村2-16-3,35.775177,139.686193,
医療法人社団慈誠会　介護老人保健施設　赤塚園,東京都板橋区赤塚新町3-33-27,35.76931,139.640725,
医療法人社団明芳会介護老人保健施設　板橋ロイヤルケアセンター,東京都板橋区前野町3-46-3,35.772052,139.694314,
医療法人財団朔望会介護老人保健施設　エーデルワイス,東京都板橋区四葉2-21-16,35.783285,139.650743,
医療法人財団健康文化会　介護老人保健施設　志村さつき苑,東京都板橋区坂下3-7-6,35.786379,139.683935,
財団法人愛世会　介護老人保健施設　シルバーピア加賀,東京都板橋区加賀1-3-1,35.753941,139.720813,
医療法人社団翠会　介護老人保健施設　蓮根ひまわり苑,東京都板橋区蓮根3-25-4,35.790777,139.67691,
医療法人財団朔望会　介護老人保健施設　プリムローズ,東京都板橋区前野町3-8-7,35.767856,139.692882,
社会福祉法人ＪＨＣ板橋会　ＪＨＣ板橋会本部,東京都板橋区南常盤台2-1-7,35.759065,139.687625,
社会福祉法人東京援護協会　板橋区立小豆沢福祉園,東京都板橋区東坂下1-4-9,35.781274,139.694638,
社会福祉法人東京援護協会　板橋区立三園福祉園,東京都板橋区三園2-9-6,35.793206,139.640621,
社会福祉法人東京援護協会　板橋区立高島平福祉園,東京都板橋区高島平9-25-12,35.790479,139.668187,
社会福祉法人恩賜財団東京都同胞援護会　板橋区立小茂根福祉園,東京都板橋区小茂根3-12-21,35.750292,139.678804,
社会福祉法人大泉旭出学園　板橋区立徳丸福祉園,東京都板橋区徳丸3-41-16,35.775657,139.656376,
社会福祉法人嬉泉　板橋区立赤塚福祉園,東京都板橋区赤塚6-19-14,35.777002,139.645237,
社会福祉法人東京援護協会　板橋区立前野福祉園,東京都板橋区前野町4-16-1,35.771566,139.689949,
社会福祉法人東京援護協会　板橋区立蓮根福祉園,東京都板橋区坂下2-8-1-101,35.781577,139.683314,
社会福祉法人同愛会　板橋区立加賀福祉園,東京都板橋区加賀1-7-2,35.754189,139.718751,
社会福祉法人寿栄会特別養護老人ホーム　北東京寿栄園,東京都板橋区加賀2-1-1,35.754343,139.715115,
社会福祉法人不二健育会特別養護老人ホーム　ケアポート板橋,東京都板橋区舟渡3-4-8,35.79257,139.6811,
社会福祉法人みその福祉会特別養護老人ホーム　ケアタウン成増,東京都板橋区成増4-14-18,35.783295,139.635258,
社会福祉法人小茂根の郷特別養護老人ホーム　東京武蔵野ホーム　,東京都板橋区小茂根4-11-11,35.747043,139.675632,
社会福祉法人四葉晃耀会特別養護老人ホーム　ブルーポピー,東京都板橋区大門8-5,35.783723,139.650509,
社会福祉法人北野会特別養護老人ホーム　マイライフ徳丸,東京都板橋区徳丸3-32-28,35.775006,139.657173,
社会福祉法人翠生会特別養護老人ホーム　音羽台レジデンス,東京都板橋区成増4-33-1,35.786442,139.634549,
社会福祉法人信隆会特別養護老人ホーム　若木ライフ,東京都板橋区若木1-21-3,35.767822,139.671958,
社会福祉法人至誠学舎東京東京都板橋区立特別養護老人ホーム　みどりの苑,東京都板橋区前野町5-9-3,35.770981,139.685144,
社会福祉法人東京援護協会東京都板橋区立特別養護老人ホーム　いずみの苑,東京都板橋区東坂下2-2-22,35.783181,139.690117,
社会福祉法人福翠会　特別養護老人ホーム　板橋の里　英智園,東京都板橋区前野町3-45-7,35.771461,139.693924,
