P20_001,名称,所在地,種別,P20_005,P20_006,P20_007,P20_008,P20_009,P20_010,P20_011,P20_012,レベル,備考,緯度,経度,NO
13120,大泉学園小学校,東京都練馬区大泉学園町4-7-1,避難拠点,630,504,0,0,0,0,0,1,1,,35.765584,139.593583,1691
13120,大泉学園中学校,東京都練馬区大泉学園町4-17-32,避難拠点,623,616,0,0,0,0,0,1,1,,35.766667,139.589861,1692
13120,大泉学園緑小学校,東京都練馬区大泉学園町5-11-47,避難拠点,630,504,0,0,0,0,0,1,1,,35.766251,139.585556,1693
13120,大泉小学校,東京都練馬区東大泉4-25-1,避難拠点,630,504,0,0,0,0,0,1,1,,35.751923,139.584084,1694
13120,大泉西小学校,東京都練馬区西大泉4-25-1,避難拠点,630,504,0,0,0,0,0,1,1,,35.765306,139.571863,1695
13120,大泉西中学校,東京都練馬区西大泉3-19-27,避難拠点,625,558,0,0,0,0,0,1,1,,35.75839,139.579946,1696
13120,大泉第一小学校,東京都練馬区大泉町3-16-23,避難拠点,603,576,0,0,0,0,0,1,1,,35.765751,139.599166,1697
13120,大泉第三小学校,東京都練馬区大泉学園町3-22-1,避難拠点,630,504,0,0,0,0,0,1,1,,35.76339,139.579696,1698
13120,大泉第四小学校,東京都練馬区西大泉1-24-1,避難拠点,604,744,0,0,0,0,0,1,1,,35.755481,139.573538,1699
13120,大泉第二小学校,東京都練馬区南大泉4-29-11,避難拠点,630,504,0,0,0,0,0,1,1,,35.744225,139.573225,1700
13120,大泉第二中学校,東京都練馬区東大泉6-21-1,避難拠点,606,960,0,0,0,0,0,1,1,,35.744642,139.584724,1701
13120,大泉第六小学校,東京都練馬区南大泉5-25-29,避難拠点,630,504,0,0,0,0,0,1,1,,35.751184,139.571731,1702
13120,大泉中学校,東京都練馬区東大泉4-27-35,避難拠点,602,700,0,0,0,0,0,1,1,,35.752308,139.585251,1703
13120,大泉東小学校,東京都練馬区東大泉1-22-1,避難拠点,630,504,0,0,0,0,0,1,1,,35.748711,139.591212,1704
13120,大泉南小学校,東京都練馬区東大泉6-28-1,避難拠点,630,504,0,0,0,0,0,1,1,,35.744762,139.581155,1705
13120,大泉北小学校,東京都練馬区大泉町4-28-22,避難拠点,630,504,0,0,0,0,0,1,1,,35.762224,139.595722,1706
13120,大泉北中学校,東京都練馬区大泉町5-4-32,避難拠点,627,814,0,0,0,0,0,1,1,,35.759418,139.596278,1707
13120,谷原小学校,東京都練馬区谷原2-9-26,避難拠点,630,504,0,0,0,0,0,1,1,,35.751059,139.61411,1710
13120,谷原中学校,東京都練馬区谷原4-10-5,避難拠点,625,558,0,0,0,0,0,1,1,,35.754808,139.615193,1711
13120,中村小学校,東京都練馬区中村2-8-1,避難拠点,630,504,0,0,0,0,0,1,1,,35.731229,139.644025,1712
13120,中村西小学校,東京都練馬区中村北4-17-1,避難拠点,607,522,0,0,0,0,0,1,1,,35.734228,139.635331,1713
13120,中村中学校,東京都練馬区中村南1-32-21,避難拠点,601,1075,0,0,0,0,0,1,1,,35.728284,139.645414,1714
13120,仲町小学校,東京都練馬区氷川台2-18-24,避難拠点,630,504,0,0,0,0,0,1,1,,35.758032,139.667605,1715
13120,田柄小学校,東京都練馬区田柄2-19-19,避難拠点,612,532,0,0,0,0,0,1,1,,35.766113,139.643996,1717
13120,田柄第二小学校,東京都練馬区田柄1-5-27,避難拠点,604,768,0,0,0,0,0,1,1,,35.758975,139.642468,1718
13120,田柄中学校,東京都練馬区田柄3-3-1,避難拠点,616,1106,0,0,0,0,0,1,1,,35.759725,139.64169,1719
13120,南が丘小学校,東京都練馬区南田中2-13-1,避難拠点,621,486,0,0,0,0,0,1,1,,35.733866,139.617277,1725
13120,南が丘中学校,東京都練馬区南田中4-8-23,避難拠点,617,982,0,0,0,0,0,1,1,,35.733866,139.613027,1726
13120,南町小学校,東京都練馬区練馬2-7-5,避難拠点,601,572,0,0,0,0,0,1,1,,35.740839,139.653135,1727
13120,南田中小学校,東京都練馬区南田中5-15-37,避難拠点,630,504,0,0,0,0,0,1,1,,35.737005,139.611249,1728
13120,八坂小学校,東京都練馬区土支田4-48-1,避難拠点,630,504,0,0,0,0,0,1,1,,35.768668,139.611332,1729
13120,八坂中学校,東京都練馬区土支田4-47-21,避難拠点,618,796,0,0,0,0,0,1,1,,35.769779,139.61222,1730
13120,富士見台小学校,東京都練馬区富士見台4-16-10,避難拠点,630,504,0,0,0,0,0,1,1,,35.744921,139.623304,1732
13120,豊玉小学校,東京都練馬区豊玉中4-2-20,避難拠点,604,768,0,0,0,0,0,1,1,,35.732923,139.65183,1734
13120,豊玉第二小学校,東京都練馬区豊玉上2-16-1,避難拠点,612,532,0,0,0,0,0,1,1,,35.737395,139.662079,1735
13120,豊玉第二中学校,東京都練馬区豊玉北2-24-5,避難拠点,616,540,0,0,0,0,0,1,1,,35.73534,139.664606,1736
13120,豊玉中学校,東京都練馬区豊玉南2-1-20,避難拠点,624,618,0,0,0,0,0,1,1,,35.729257,139.657968,1737
13120,豊玉東小学校,東京都練馬区豊玉北1-16-1,避難拠点,630,504,0,0,0,0,0,1,1,,35.73259,139.667745,1738
13120,豊玉南小学校,東京都練馬区豊玉南2-14-1,避難拠点,604,768,0,0,0,0,0,1,1,,35.727813,139.656524,1740
13120,豊渓小学校,東京都練馬区土支田2-26-28,避難拠点,608,495,0,0,0,0,0,1,1,,35.763057,139.615387,1741
13120,豊渓中学校,東京都練馬区旭町3-5-10,避難拠点,594,558,0,0,0,0,0,1,1,,35.774223,139.627941,1742
13120,北原小学校,東京都練馬区谷原4-9-1,避難拠点,630,504,0,0,0,0,0,1,1,,35.754503,139.613693,1743
13120,北町小学校,東京都練馬区北町1-14-11,避難拠点,630,504,0,0,0,0,0,1,1,,35.765086,139.664272,1744
13120,北町西小学校,東京都練馬区北町7-3-8,避難拠点,630,504,0,0,0,0,0,1,1,,35.761503,139.653773,1745
13120,北町中学校,東京都練馬区北町3-1-34,避難拠点,601,1075,0,0,0,0,0,1,1,,35.767197,139.657161,1746
13120,立野小学校,東京都練馬区立野町17-13,避難拠点,619,672,0,0,0,0,0,1,1,,35.718284,139.580836,1747
13120,練馬小学校,東京都練馬区春日町6-11-36,避難拠点,604,768,0,0,0,0,0,1,1,,35.752476,139.636052,1759
13120,練馬第三小学校,東京都練馬区貫井1-36-15,避難拠点,612,532,0,0,0,0,0,1,1,,35.737172,139.635331,1760
13120,練馬第二小学校,東京都練馬区貫井2-31-13,避難拠点,630,504,0,0,0,0,0,1,1,,35.741672,139.634108,1761
13120,練馬中学校,東京都練馬区高松1-24-1,避難拠点,608,1090,0,0,0,0,0,1,1,,35.747782,139.635025,1762
13120,練馬東小学校,東京都練馬区春日町1-30-11,避難拠点,604,768,0,0,0,0,0,1,1,,35.75206,139.647551,1763
13120,練馬東中学校,東京都練馬区春日町2-14-22,避難拠点,604,894,0,0,0,0,0,1,1,,35.757031,139.647746,1764
