名称,所在地,緯度,経度
区立大泉公園内,大泉学園町6-25,35.77187107,139.5826057
区立はやいち公園,早宮1-47-11,35.75308929,139.656607
区立学田公園内,豊玉南3-32,35.7305802,139.6491383
練馬給水所,光が丘2-4-1,35.76541945,139.630839
みんなの広場公園,石神井町８−４１,35.747983,139.5985335
